frame_idx,camera_id,t_arrival,t_inference_start,t_inference_end,gpu_mem_before_mb,gpu_mem_after_mb,num_persons,avg_confidence,wrist_keypoints
125,FF-34-CAM-4,33643.491471488,33643.493523276,33643.611446414,38.3330078125,38.3330078125,0,,0
127,FF-34-CAM-4,33644.459576775,33644.461505213,33644.55831129,38.3330078125,38.3330078125,0,,0
129,FF-34-CAM-4,33645.285752195,33645.287703808,33645.408268077,38.3330078125,38.3330078125,0,,0
131,FF-34-CAM-4,33646.213468424,33646.22127102,33646.333873218,38.3330078125,38.3330078125,0,,0
133,FF-34-CAM-4,33647.171829973,33647.173554749,33647.248096579,38.3330078125,38.3330078125,0,,0
135,FF-34-CAM-4,33648.269483115,33648.272653855,33648.379199726,38.3330078125,38.3330078125,0,,0
137,FF-34-CAM-4,33649.177571769,33649.179606117,33649.462107414,38.3330078125,38.3330078125,0,,0
139,FF-34-CAM-4,33650.287721313,33650.290443581,33650.400619267,38.3330078125,38.3330078125,0,,0
141,FF-34-CAM-4,33651.303814476,33651.309661834,33651.4452142,38.3330078125,38.3330078125,0,,0
143,FF-34-CAM-4,33652.297744036,33652.300400248,33652.438571929,38.3330078125,38.3330078125,0,,0
145,FF-34-CAM-4,33653.195853918,33653.197554341,33653.360945976,38.3330078125,38.3330078125,0,,0
147,FF-34-CAM-4,33654.156310533,33654.159372232,33654.290914168,38.3330078125,38.3330078125,0,,0
149,FF-34-CAM-4,33655.049043002,33655.051347093,33655.190609552,38.3330078125,38.3330078125,0,,0
151,FF-34-CAM-4,33655.932223795,33655.933902987,33656.105773813,38.3330078125,38.3330078125,0,,0
153,FF-34-CAM-4,33656.968211434,33656.971097895,33657.118954534,38.3330078125,38.3330078125,0,,0
155,FF-34-CAM-4,33657.924141942,33657.926594691,33658.084499756,38.3330078125,38.3330078125,0,,0
157,FF-34-CAM-4,33658.915551204,33658.917708771,33659.026322927,38.3330078125,38.3330078125,0,,0
159,FF-34-CAM-4,33659.741459059,33659.744953134,33659.870338615,38.3330078125,38.3330078125,0,,0
161,FF-34-CAM-4,33660.712630795,33660.714681176,33660.831374365,38.3330078125,38.3330078125,0,,0
163,FF-34-CAM-4,33661.990626405,33661.993315745,33662.127781862,38.3330078125,38.3330078125,0,,0
165,FF-34-CAM-4,33662.90743262,33662.909481513,33663.026605484,38.3330078125,38.3330078125,0,,0
167,FF-34-CAM-4,33664.042662551,33664.04464269,33664.159776271,38.3330078125,38.3330078125,0,,0
169,FF-34-CAM-4,33665.062755989,33665.06546145,33665.217543501,38.3330078125,38.3330078125,0,,0
171,FF-34-CAM-4,33665.960080471,33665.962177672,33666.113794184,38.3330078125,38.3330078125,0,,0
173,FF-34-CAM-4,33666.980065334,33666.984111638,33667.106191443,38.3330078125,38.3330078125,0,,0
175,FF-34-CAM-4,33667.926354089,33667.928102624,33668.100268171,38.3330078125,38.3330078125,0,,0
177,FF-34-CAM-4,33668.911478022,33668.913110228,33669.066140667,38.3330078125,38.3330078125,0,,0
179,FF-34-CAM-4,33669.938457664,33669.940108409,33670.080585979,38.3330078125,38.3330078125,0,,0
181,FF-34-CAM-4,33670.940847312,33670.943233762,33671.038240218,38.3330078125,38.3330078125,0,,0
183,FF-34-CAM-4,33671.937506839,33671.941379759,33672.145922572,38.3330078125,38.3330078125,0,,0
185,FF-34-CAM-4,33673.077901567,33673.080095281,33673.223152411,38.3330078125,38.3330078125,0,,0
187,FF-34-CAM-4,33674.152987683,33674.155881147,33674.330022784,38.3330078125,38.3330078125,0,,0
