frame_idx,camera_id,t_arrival,t_inference_start,t_inference_end,gpu_mem_before_mb,gpu_mem_after_mb,num_persons,avg_confidence,wrist_keypoints
3,GF-2-CAM-21,33487.735709205,33487.735954855,33487.74866542,38.33349609375,38.3330078125,0,,0
7,GF-2-CAM-21,33488.11227487,33488.11256314,33488.128583633,38.33349609375,38.3330078125,0,,0
9,GF-2-CAM-21,33488.214986962,33488.21565295,33488.22931711,38.3330078125,38.3330078125,0,,0
11,GF-2-CAM-21,33488.312602305,33488.312886385,33488.326384235,38.3330078125,38.3330078125,0,,0
13,GF-2-CAM-21,33488.40842925,33488.408753548,33488.42887709,38.3330078125,38.3330078125,0,,0
15,GF-2-CAM-21,33488.515370022,33488.515839818,33488.530736767,38.3330078125,38.3330078125,0,,0
17,GF-2-CAM-21,33488.684923521,33488.685343371,33488.700989521,38.3330078125,38.3330078125,0,,0
19,GF-2-CAM-21,33488.78662411,33488.786906145,33488.798545503,38.3330078125,38.3330078125,0,,0
21,GF-2-CAM-21,33488.871952,33488.872629245,33488.89855342,38.3330078125,38.3330078125,0,,0
23,GF-2-CAM-21,33488.974315685,33488.974967962,33488.992811981,38.3330078125,38.3330078125,0,,0
25,GF-2-CAM-21,33489.067422801,33489.067677604,33489.080062046,38.3330078125,38.3330078125,0,,0
27,GF-2-CAM-21,33489.162240852,33489.162466447,33489.174860029,38.3330078125,38.3330078125,0,,0
29,GF-2-CAM-21,33489.300021423,33489.300833946,33489.322477966,38.3330078125,38.3330078125,0,,0
113,GF-2-CAM-21,33494.737305108,33494.737638652,33494.754982898,38.33349609375,38.3330078125,0,,0
117,GF-2-CAM-21,33494.971022678,33494.971258457,33494.98753161,38.33349609375,38.3330078125,0,,0
121,GF-2-CAM-21,33495.258178484,33495.258600519,33495.27665896,38.33349609375,38.3330078125,0,,0
123,GF-2-CAM-21,33495.375236606,33495.375598899,33495.40363981,38.3330078125,38.3330078125,0,,0
125,GF-2-CAM-21,33495.491582849,33495.491995344,33495.511227406,38.3330078125,38.3330078125,0,,0
135,GF-2-CAM-21,33496.259551034,33496.260295623,33496.287217133,38.33349609375,38.3330078125,0,,0
137,GF-2-CAM-21,33496.389756016,33496.39006427,33496.415503625,38.3330078125,38.3330078125,0,,0
139,GF-2-CAM-21,33496.521766536,33496.522133472,33496.538642689,38.3330078125,38.3330078125,0,,0
141,GF-2-CAM-21,33496.659872957,33496.660220984,33496.689030777,38.3330078125,38.3330078125,0,,0
143,GF-2-CAM-21,33496.790569175,33496.790909165,33496.807066321,38.3330078125,38.3330078125,0,,0
145,GF-2-CAM-21,33496.968948764,33496.96965833,33496.990252212,38.3330078125,38.3330078125,0,,0
147,GF-2-CAM-21,33497.104202126,33497.106251209,33497.130205301,38.3330078125,38.3330078125,0,,0
149,GF-2-CAM-21,33497.255882938,33497.256213642,33497.278501573,38.3330078125,38.3330078125,0,,0
151,GF-2-CAM-21,33497.399813335,33497.400132551,33497.421291515,38.3330078125,38.3330078125,0,,0
153,GF-2-CAM-21,33497.532632871,33497.533040731,33497.551918173,38.3330078125,38.3330078125,0,,0
155,GF-2-CAM-21,33497.663144037,33497.66345058,33497.686821687,38.3330078125,38.3330078125,0,,0
157,GF-2-CAM-21,33497.851862925,33497.852392967,33497.877749743,38.3330078125,38.3330078125,0,,0
159,GF-2-CAM-21,33497.967319472,33497.967704842,33497.987246455,38.3330078125,38.3330078125,0,,0
161,GF-2-CAM-21,33498.140335177,33498.141043309,33498.175288378,38.3330078125,38.3330078125,0,,0
163,GF-2-CAM-21,33498.298978551,33498.29942158,33498.325362398,38.3330078125,38.3330078125,0,,0
165,GF-2-CAM-21,33498.422841606,33498.423171579,33498.445268492,38.3330078125,38.3330078125,0,,0
167,GF-2-CAM-21,33498.652338086,33498.652720434,33498.674889123,38.3330078125,38.3330078125,0,,0
169,GF-2-CAM-21,33498.790504431,33498.790932887,33498.810155951,38.3330078125,38.3330078125,0,,0
171,GF-2-CAM-21,33498.91434962,33498.914619404,33498.932918209,38.3330078125,38.3330078125,0,,0
173,GF-2-CAM-21,33499.040703377,33499.041258253,33499.058104197,38.3330078125,38.3330078125,0,,0
175,GF-2-CAM-21,33499.180047001,33499.180498144,33499.199660417,38.3330078125,38.3330078125,0,,0
177,GF-2-CAM-21,33499.314446462,33499.314857252,33499.339664089,38.3330078125,38.3330078125,0,,0
179,GF-2-CAM-21,33499.520770186,33499.521104521,33499.551119211,38.3330078125,38.3330078125,0,,0
181,GF-2-CAM-21,33499.666490474,33499.666845321,33499.692577889,38.3330078125,38.3330078125,0,,0
183,GF-2-CAM-21,33499.804346543,33499.804888698,33499.834169025,38.3330078125,38.3330078125,0,,0
