frame_idx,camera_id,t_arrival,t_inference_start,t_inference_end,gpu_mem_before_mb,gpu_mem_after_mb,num_persons,avg_confidence,wrist_keypoints
405,GF-6-CAM-18,33523.341146016,33523.341812352,33523.40229428,38.33349609375,38.3330078125,0,,0
953,GF-6-CAM-18,33681.088188051,33681.091151589,33681.195734829,38.33349609375,38.3330078125,0,,0
2669,GF-6-CAM-18,34181.064943428,34181.06852083,34181.217172208,38.33349609375,38.3330078125,0,,0
2671,GF-6-CAM-18,34181.731120265,34181.735676323,34182.020541466,38.3330078125,38.3330078125,0,,0
2673,GF-6-CAM-18,34182.46467115,34182.467079839,34182.619751914,38.3330078125,38.3330078125,0,,0
12417,GF-6-CAM-18,35795.979382502,35795.982276655,35796.038875092,38.33349609375,38.3330078125,0,,0
12419,GF-6-CAM-18,35796.230511222,35796.233288247,35796.287591889,38.3330078125,38.3330078125,0,,0
12427,GF-6-CAM-18,35797.239178978,35797.240320231,35797.304368251,38.33349609375,38.3330078125,0,,0
12429,GF-6-CAM-18,35797.490817699,35797.491541648,35797.559025707,38.3330078125,38.3330078125,0,,0
12529,GF-6-CAM-18,35810.646202885,35810.648793024,35810.70306328,38.33349609375,38.3330078125,0,,0
13537,GF-6-CAM-18,35941.878972409,35941.879756436,35941.915372643,38.33349609375,38.3330078125,0,,0
13539,GF-6-CAM-18,35942.089414762,35942.090379854,35942.137214958,38.3330078125,38.3330078125,0,,0
13541,GF-6-CAM-18,35942.314505147,35942.317692424,35942.370495383,38.3330078125,38.3330078125,0,,0
13553,GF-6-CAM-18,35943.677263481,35943.680016594,35943.733561607,38.33349609375,38.3330078125,0,,0
13555,GF-6-CAM-18,35943.911558909,35943.912891447,35943.960146569,38.3330078125,38.3330078125,0,,0
13557,GF-6-CAM-18,35944.105748789,35944.106672279,35944.151643151,38.3330078125,38.3330078125,0,,0
13559,GF-6-CAM-18,35944.296696902,35944.297894918,35944.357358893,38.3330078125,38.3330078125,0,,0
13561,GF-6-CAM-18,35944.528788979,35944.529876713,35944.577389548,38.3330078125,38.3330078125,0,,0
13563,GF-6-CAM-18,35944.762548968,35944.764376978,35944.803515672,38.3330078125,38.3330078125,0,,0
13565,GF-6-CAM-18,35944.986504561,35944.988672913,35945.037837163,38.3330078125,38.3330078125,0,,0
13567,GF-6-CAM-18,35945.227751574,35945.228784359,35945.269199142,38.3330078125,38.3330078125,0,,0
13569,GF-6-CAM-18,35945.439567305,35945.440449727,35945.510121649,38.3330078125,38.3330078125,0,,0
13571,GF-6-CAM-18,35945.721083062,35945.722935418,35945.788713569,38.3330078125,38.3330078125,0,,0
13573,GF-6-CAM-18,35945.945605138,35945.946611557,35945.988884775,38.3330078125,38.3330078125,0,,0
13575,GF-6-CAM-18,35946.199567278,35946.200911022,35946.260994997,38.3330078125,38.3330078125,0,,0
13577,GF-6-CAM-18,35946.446300213,35946.447614955,35946.51354302,38.3330078125,38.3330078125,0,,0
13579,GF-6-CAM-18,35946.683145518,35946.68615305,35946.740169286,38.3330078125,38.3330078125,0,,0
13581,GF-6-CAM-18,35946.942414869,35946.943560334,35946.998112438,38.3330078125,38.3330078125,0,,0
13583,GF-6-CAM-18,35947.206726138,35947.208454491,35947.256964205,38.3330078125,38.3330078125,0,,0
