frame_idx,camera_id,t_arrival,t_inference_start,t_inference_end,gpu_mem_before_mb,gpu_mem_after_mb,num_persons,avg_confidence,wrist_keypoints
1,GF-30-CAM-31,33492.905089293,33492.906476805,33499.011695871,47.009765625,38.3330078125,0,,0
3,GF-30-CAM-31,33499.195539174,33499.19585532,33499.215147738,38.3330078125,38.3330078125,0,,0
5,GF-30-CAM-31,33499.338569769,33499.339453952,33499.360401364,38.3330078125,38.3330078125,0,,0
7,GF-30-CAM-31,33499.480439191,33499.481423631,33499.502590657,38.3330078125,38.3330078125,0,,0
9,GF-30-CAM-31,33499.628470507,33499.629441123,33499.65628638,38.3330078125,38.3330078125,0,,0
11,GF-30-CAM-31,33499.779291699,33499.779717929,33499.808347071,38.3330078125,38.3330078125,0,,0
13,GF-30-CAM-31,33499.923288901,33499.923803967,33499.942526921,38.3330078125,38.3330078125,0,,0
15,GF-30-CAM-31,33500.115113483,33500.115437698,33500.132791652,38.3330078125,38.3330078125,0,,0
17,GF-30-CAM-31,33500.252447283,33500.253597663,33500.292991731,38.3330078125,38.3330078125,0,,0
19,GF-30-CAM-31,33500.42427759,33500.424876791,33500.451914882,38.3330078125,38.3330078125,0,,0
21,GF-30-CAM-31,33500.579560808,33500.580287777,33500.604223217,38.3330078125,38.3330078125,0,,0
23,GF-30-CAM-31,33500.747795751,33500.748313991,33500.772334899,38.3330078125,38.3330078125,0,,0
25,GF-30-CAM-31,33500.90183925,33500.902264039,33500.930783898,38.3330078125,38.3330078125,0,,0
27,GF-30-CAM-31,33501.062857463,33501.063222757,33501.098809661,38.3330078125,38.3330078125,0,,0
29,GF-30-CAM-31,33501.232929851,33501.234643958,33501.262375147,38.3330078125,38.3330078125,0,,0
31,GF-30-CAM-31,33501.420112149,33501.421188021,33501.443221904,38.3330078125,38.3330078125,0,,0
33,GF-30-CAM-31,33501.575429797,33501.575842082,33501.603312046,38.3330078125,38.3330078125,0,,0
35,GF-30-CAM-31,33501.732029577,33501.732305512,33501.750863066,38.3330078125,38.3330078125,0,,0
