frame_idx,camera_id,t_arrival,t_inference_start,t_inference_end,gpu_mem_before_mb,gpu_mem_after_mb,num_persons,avg_confidence,wrist_keypoints
203,GF-16-CAM-18,33549.081671871,33549.082555881,33549.139072224,38.3330078125,38.3330078125,0,,0
205,GF-16-CAM-18,33549.286206072,33549.286890382,33549.315379438,38.3330078125,38.3330078125,0,,0
207,GF-16-CAM-18,33549.486677339,33549.487366969,33549.522293672,38.3330078125,38.3330078125,0,,0
209,GF-16-CAM-18,33549.731068672,33549.731626716,33549.774200941,38.3330078125,38.3330078125,0,,0
211,GF-16-CAM-18,33549.933245499,33549.935097155,33550.002607641,38.3330078125,38.3330078125,0,,0
213,GF-16-CAM-18,33550.149860801,33550.150585002,33550.199667659,38.3330078125,38.3330078125,0,,0
215,GF-16-CAM-18,33550.371470847,33550.372706969,33550.398061119,38.3330078125,38.3330078125,0,,0
217,GF-16-CAM-18,33550.527984646,33550.528692517,33550.583100444,38.3330078125,38.3330078125,0,,0
219,GF-16-CAM-18,33550.774784503,33550.775648383,33550.833827153,38.3330078125,38.3330078125,0,,0
221,GF-16-CAM-18,33551.020401875,33551.020927095,33551.071893123,38.3330078125,38.3330078125,0,,0
223,GF-16-CAM-18,33551.207533204,33551.208295934,33551.2332651,38.3330078125,38.3330078125,0,,0
225,GF-16-CAM-18,33551.570397806,33551.571341509,33551.629791634,38.3330078125,38.3330078125,0,,0
227,GF-16-CAM-18,33551.814895181,33551.815788461,33551.844161331,38.3330078125,38.3330078125,0,,0
229,GF-16-CAM-18,33551.98065264,33551.982666379,33552.020586295,38.3330078125,38.3330078125,0,,0
231,GF-16-CAM-18,33552.217884241,33552.218742455,33552.25969739,38.3330078125,38.3330078125,0,,0
233,GF-16-CAM-18,33552.447775982,33552.449542954,33552.508054853,38.3330078125,38.3330078125,0,,0
235,GF-16-CAM-18,33552.629908939,33552.631101718,33552.661948691,38.3330078125,38.3330078125,0,,0
237,GF-16-CAM-18,33552.888386762,33552.889088595,33552.915434361,38.3330078125,38.3330078125,0,,0
239,GF-16-CAM-18,33553.119922565,33553.120708081,33553.15363428,38.3330078125,38.3330078125,0,,0
241,GF-16-CAM-18,33553.390212367,33553.39074362,33553.438954132,38.3330078125,38.3330078125,0,,0
243,GF-16-CAM-18,33553.555327488,33553.555914742,33553.597618066,38.3330078125,38.3330078125,0,,0
245,GF-16-CAM-18,33553.772127571,33553.773120247,33553.813789201,38.3330078125,38.3330078125,0,,0
247,GF-16-CAM-18,33553.998141704,33553.998664673,33554.050553119,38.3330078125,38.3330078125,0,,0
249,GF-16-CAM-18,33554.227444307,33554.228090722,33554.278696209,38.3330078125,38.3330078125,0,,0
251,GF-16-CAM-18,33554.440543493,33554.441357199,33554.497405439,38.3330078125,38.3330078125,0,,0
253,GF-16-CAM-18,33554.669138878,33554.670522606,33554.718336682,38.3330078125,38.3330078125,0,,0
255,GF-16-CAM-18,33554.956535915,33554.957527506,33555.001982248,38.3330078125,38.3330078125,0,,0
257,GF-16-CAM-18,33555.173403401,33555.174217035,33555.207831243,38.3330078125,38.3330078125,0,,0
259,GF-16-CAM-18,33555.463070404,33555.46423664,33555.506696707,38.3330078125,38.3330078125,0,,0
301,GF-16-CAM-18,33560.545903425,33560.546606441,33560.590843989,38.33349609375,38.3330078125,0,,0
303,GF-16-CAM-18,33560.80874718,33560.809371803,33560.835648617,38.3330078125,38.3330078125,0,,0
305,GF-16-CAM-18,33561.073174949,33561.074249648,33561.132949702,38.3330078125,38.3330078125,0,,0
307,GF-16-CAM-18,33561.319121036,33561.319755982,33561.393093176,38.3330078125,38.3330078125,0,,0
311,GF-16-CAM-18,33561.721592515,33561.722335017,33561.753030542,38.33349609375,38.3330078125,0,,0
313,GF-16-CAM-18,33561.883612239,33561.884653158,33561.926402881,38.3330078125,38.3330078125,0,,0
319,GF-16-CAM-18,33562.414563556,33562.415231426,33562.458722627,38.33349609375,38.3330078125,0,,0
321,GF-16-CAM-18,33562.573931732,33562.575457781,33562.615057806,38.3330078125,38.3330078125,0,,0
323,GF-16-CAM-18,33562.761682878,33562.763866804,33562.792940776,38.3330078125,38.3330078125,0,,0
329,GF-16-CAM-18,33563.449867678,33563.450643966,33563.501191854,38.33349609375,38.3330078125,0,,0
331,GF-16-CAM-18,33563.657432473,33563.658197538,33563.733783945,38.3330078125,38.3330078125,0,,0
333,GF-16-CAM-18,33563.881046802,33563.88175006,33563.92213541,38.3330078125,38.3330078125,0,,0
335,GF-16-CAM-18,33564.064028441,33564.06699421,33564.093037413,38.3330078125,38.3330078125,0,,0
337,GF-16-CAM-18,33564.34271109,33564.34457968,33564.432160689,38.3330078125,38.3330078125,0,,0
