frame_idx,camera_id,t_arrival,t_inference_start,t_inference_end,gpu_mem_before_mb,gpu_mem_after_mb,num_persons,avg_confidence,wrist_keypoints
43,GF-5-CAM-25,33578.842395117,33578.846269672,33579.034324153,38.33349609375,38.3330078125,0,,0
45,GF-5-CAM-25,33579.546972549,33579.551258786,33579.739703324,38.3330078125,38.3330078125,0,,0
47,GF-5-CAM-25,33580.129661098,33580.131148608,33580.310645158,38.3330078125,38.3330078125,0,,0
49,GF-5-CAM-25,33580.712872996,33580.715888861,33580.845600164,38.3330078125,38.3330078125,0,,0
51,GF-5-CAM-25,33581.341947392,33581.346175266,33581.465381397,38.3330078125,38.3330078125,0,,0
53,GF-5-CAM-25,33581.86241483,33581.866090432,33582.021655918,38.3330078125,38.3330078125,0,,0
55,GF-5-CAM-25,33582.528412965,33582.53044724,33582.659867185,38.3330078125,38.3330078125,0,,0
57,GF-5-CAM-25,33583.09811127,33583.100784772,33583.253486039,38.3330078125,38.3330078125,0,,0
59,GF-5-CAM-25,33583.669253668,33583.670865388,33583.841782756,38.3330078125,38.3330078125,0,,0
61,GF-5-CAM-25,33584.220377683,33584.222726097,33584.379356175,38.3330078125,38.3330078125,0,,0
63,GF-5-CAM-25,33584.749575683,33584.754155867,33584.859957137,38.3330078125,38.3330078125,0,,0
65,GF-5-CAM-25,33585.257799205,33585.266328775,33585.451177931,38.3330078125,38.3330078125,0,,0
67,GF-5-CAM-25,33585.918775273,33585.922727621,33586.085505241,38.3330078125,38.3330078125,0,,0
69,GF-5-CAM-25,33586.579016908,33586.580712872,33586.934903479,38.3330078125,38.3330078125,0,,0
71,GF-5-CAM-25,33587.519113859,33587.521725298,33587.640559148,38.3330078125,38.3330078125,0,,0
73,GF-5-CAM-25,33588.037975874,33588.049696095,33588.219344528,38.3330078125,38.3330078125,0,,0
75,GF-5-CAM-25,33588.689512178,33588.691124953,33588.81576544,38.3330078125,38.3330078125,0,,0
77,GF-5-CAM-25,33589.266375169,33589.267924822,33589.368945509,38.3330078125,38.3330078125,0,,0
79,GF-5-CAM-25,33589.758656248,33589.761560157,33589.891824312,38.3330078125,38.3330078125,0,,0
81,GF-5-CAM-25,33590.366187122,33590.368745095,33590.453259596,38.3330078125,38.3330078125,0,,0
83,GF-5-CAM-25,33590.895549126,33590.898074495,33591.116174889,38.3330078125,38.3330078125,0,,0
85,GF-5-CAM-25,33591.562745208,33591.564462949,33591.724711312,38.3330078125,38.3330078125,0,,0
87,GF-5-CAM-25,33592.100873728,33592.102483359,33592.298287887,38.3330078125,38.3330078125,0,,0
89,GF-5-CAM-25,33592.785598919,33592.788599389,33592.965897752,38.3330078125,38.3330078125,0,,0
91,GF-5-CAM-25,33593.487515057,33593.491891779,33593.594241369,38.3330078125,38.3330078125,0,,0
93,GF-5-CAM-25,33593.957880768,33593.959417773,33594.102736082,38.3330078125,38.3330078125,0,,0
95,GF-5-CAM-25,33594.556400887,33594.559697637,33594.71345251,38.3330078125,38.3330078125,0,,0
97,GF-5-CAM-25,33595.150895643,33595.161256988,33595.267396161,38.3330078125,38.3330078125,0,,0
99,GF-5-CAM-25,33595.695848527,33595.698229097,33595.843532641,38.3330078125,38.3330078125,0,,0
101,GF-5-CAM-25,33596.278075605,33596.279936547,33596.437709125,38.3330078125,38.3330078125,0,,0
