frame_idx,camera_id,t_arrival,t_inference_start,t_inference_end,gpu_mem_before_mb,gpu_mem_after_mb,num_persons,avg_confidence,wrist_keypoints
349,GF-19-CAM-19,33600.185671967,33600.188182773,33600.316146876,38.33349609375,38.3330078125,0,,0
351,GF-19-CAM-19,33600.743186518,33600.745228116,33600.94603242,38.3330078125,38.3330078125,0,,0
353,GF-19-CAM-19,33601.390779704,33601.397506858,33601.554791124,38.3330078125,38.3330078125,0,,0
355,GF-19-CAM-19,33601.922051159,33601.923401796,33602.039778879,38.3330078125,38.3330078125,0,,0
572,GF-19-CAM-19,33665.063112241,33665.066131452,33665.252086647,38.33349609375,38.3330078125,0,,0
576,GF-19-CAM-19,33666.129521191,33666.142259768,33666.337261053,38.33349609375,38.3330078125,0,,0
578,GF-19-CAM-19,33666.784653447,33666.787125568,33666.936958359,38.3330078125,38.3330078125,0,,0
580,GF-19-CAM-19,33667.312708622,33667.314608634,33667.440708748,38.3330078125,38.3330078125,0,,0
582,GF-19-CAM-19,33667.836953867,33667.838720622,33667.951738515,38.3330078125,38.3330078125,0,,0
584,GF-19-CAM-19,33668.350348666,33668.352305195,33668.525993153,38.3330078125,38.3330078125,0,,0
586,GF-19-CAM-19,33668.872635686,33668.875851152,33668.980374466,38.3330078125,38.3330078125,0,,0
588,GF-19-CAM-19,33669.314618996,33669.317065782,33669.52441459,38.3330078125,38.3330078125,0,,0
688,GF-19-CAM-19,33700.023677038,33700.025389475,33700.20855514,38.33349609375,38.3330078125,0,,0
713,GF-19-CAM-19,33706.943865799,33706.948679568,33707.138388654,38.33349609375,38.3330078125,0,,0
717,GF-19-CAM-19,33708.047752306,33708.049633507,33708.265586315,38.33349609375,38.3330078125,0,,0
723,GF-19-CAM-19,33710.019138893,33710.023554235,33710.144303311,38.33349609375,38.3330078125,0,,0
725,GF-19-CAM-19,33710.592277387,33710.595293559,33710.754845074,38.3330078125,38.3330078125,0,,0
763,GF-19-CAM-19,33722.158581625,33722.161708117,33722.316498739,38.333984375,38.3330078125,0,,0
765,GF-19-CAM-19,33722.729815639,33722.733111574,33722.902888317,38.3330078125,38.3330078125,0,,0
871,GF-19-CAM-19,33755.70806887,33755.710326438,33755.842813933,38.33349609375,38.3330078125,0,,0
1137,GF-19-CAM-19,33840.482148337,33840.483888949,33840.616425013,38.33349609375,38.3330078125,0,,0
1187,GF-19-CAM-19,33855.44023494,33855.449978772,33855.600705288,38.33349609375,38.3330078125,0,,0
