frame_idx,ssim,curr_mean,mean_diff,is_open,candidate,stable
0,0.8883187017120522,51.86969696969697,15.353939393939394,False,False,False
1,0.8908266705595346,51.842424242424244,15.396969696969697,False,False,False
2,0.8947553109034734,51.804848484848485,15.412727272727272,False,False,False
3,0.8973141847127145,51.766060606060606,15.426060606060606,False,False,False
4,0.8961119656460252,51.89151515151515,15.32969696969697,False,False,False
5,0.8970150901132947,51.836969696969696,15.378181818181819,False,False,False
6,0.8982275112836813,51.842424242424244,15.366666666666667,False,False,False
7,0.8993378667569036,51.904242424242426,15.27939393939394,False,False,False
8,0.8973193857950167,51.85575757575758,15.346060606060606,False,False,False
9,0.897464275096178,51.90121212121212,15.31151515151515,False,False,False
10,0.8991621041403632,51.86424242424243,15.32060606060606,False,False,False
11,0.8985886270850436,51.71151515151515,15.450303030303031,False,False,False
12,0.8982361260024746,51.833939393939396,15.336363636363636,False,False,False
13,0.8984263191603439,51.92606060606061,15.26,False,False,False
14,0.8985261192720096,51.947878787878786,15.238181818181818,False,False,False
15,0.8987994632525224,51.842424242424244,15.324242424242424,False,False,False
16,0.8987181286451342,51.776969696969694,15.387272727272727,False,False,False
17,0.8992222740461707,51.876969696969695,15.287272727272727,False,False,False
18,0.9005969651083565,51.9230303030303,15.244848484848484,False,False,False
19,0.9004084563148325,51.98848484848485,15.2,False,False,False
20,0.8986565817679616,51.86060606060606,15.327878787878788,False,False,False
21,0.8989993278868019,51.92424242424242,15.265454545454546,False,False,False
22,0.8989239948191715,51.943636363636365,15.265454545454546,False,False,False
23,0.8993235703958143,51.983636363636364,15.241212121212122,False,False,False
24,0.8993957197519178,51.907878787878786,15.30121212121212,False,False,False
25,0.8996873386713338,51.93575757575758,15.295151515151515,False,False,False
26,0.9002389609118056,51.944242424242425,15.262424242424242,False,False,False
27,0.8997033838129809,51.77090909090909,15.415151515151516,False,False,False
28,0.9005157909040535,51.78060606060606,15.407878787878788,False,False,False
29,0.9006476489736654,51.82424242424243,15.401818181818182,False,False,False
30,0.8999669249453424,51.81575757575757,15.40060606060606,False,False,False
31,0.9005604042796721,51.77151515151515,15.42909090909091,False,False,False
32,0.9009361714042212,51.846060606060604,15.381212121212121,False,False,False
33,0.9010926461213964,51.82606060606061,15.398787878787878,False,False,False
34,0.9011136471884156,51.82363636363636,15.40121212121212,False,False,False
35,0.9017789063582432,51.912121212121214,15.304242424242425,False,False,False
36,0.9005527775761073,51.89939393939394,15.30121212121212,False,False,False
37,0.9005543165077468,51.9369696969697,15.258787878787878,False,False,False
38,0.9004433762366649,51.86121212121212,15.332121212121212,False,False,False
39,0.9008188054733541,51.872121212121215,15.312727272727273,False,False,False
40,0.9001350638548449,51.78787878787879,15.405454545454546,False,False,False
41,0.9002440961934064,51.766060606060606,15.41030303030303,False,False,False
