frame_idx,ssim,curr_mean,mean_diff,visible_ratio,is_open,candidate,stable
0,0.8883187017120522,51.86969696969697,15.353939393939394,1.0,False,False,False
1,0.8908266705595346,51.842424242424244,15.396969696969697,1.0,False,False,False
2,0.8947553109034734,51.804848484848485,15.412727272727272,1.0,False,False,False
3,0.8973141847127145,51.766060606060606,15.426060606060606,1.0,False,False,False
4,0.8961119656460252,51.89151515151515,15.32969696969697,1.0,False,False,False
5,0.8970150901132947,51.836969696969696,15.378181818181819,1.0,False,False,False
6,0.8982275112836813,51.842424242424244,15.366666666666667,1.0,False,False,False
7,0.8993378667569036,51.904242424242426,15.27939393939394,1.0,False,False,False
8,0.8973193857950167,51.85575757575758,15.346060606060606,1.0,False,False,False
9,0.897464275096178,51.90121212121212,15.31151515151515,1.0,False,False,False
10,0.8991621041403632,51.86424242424243,15.32060606060606,1.0,False,False,False
11,0.8985886270850436,51.71151515151515,15.450303030303031,1.0,False,False,False
12,0.8982361260024746,51.833939393939396,15.336363636363636,1.0,False,False,False
13,0.8984263191603439,51.92606060606061,15.26,1.0,False,False,False
14,0.8985261192720096,51.947878787878786,15.238181818181818,1.0,False,False,False
15,0.8987994632525224,51.842424242424244,15.324242424242424,1.0,False,False,False
16,0.8987181286451342,51.776969696969694,15.387272727272727,1.0,False,False,False
17,0.8992222740461707,51.876969696969695,15.287272727272727,1.0,False,False,False
18,0.9005969651083565,51.9230303030303,15.244848484848484,1.0,False,False,False
19,0.9004084563148325,51.98848484848485,15.2,1.0,False,False,False
20,0.8986565817679616,51.86060606060606,15.327878787878788,1.0,False,False,False
21,0.8989993278868019,51.92424242424242,15.265454545454546,1.0,False,False,False
22,0.8989239948191715,51.943636363636365,15.265454545454546,1.0,False,False,False
23,0.8993235703958143,51.983636363636364,15.241212121212122,1.0,False,False,False
24,0.8993957197519178,51.907878787878786,15.30121212121212,1.0,False,False,False
25,0.8996873386713338,51.93575757575758,15.295151515151515,1.0,False,False,False
26,0.9002389609118056,51.944242424242425,15.262424242424242,1.0,False,False,False
27,0.8997033838129809,51.77090909090909,15.415151515151516,1.0,False,False,False
28,0.9005157909040535,51.78060606060606,15.407878787878788,1.0,False,False,False
29,0.9006476489736654,51.82424242424243,15.401818181818182,1.0,False,False,False
30,0.8999669249453424,51.81575757575757,15.40060606060606,1.0,False,False,False
31,0.9005604042796721,51.77151515151515,15.42909090909091,1.0,False,False,False
32,0.9009361714042212,51.846060606060604,15.381212121212121,1.0,False,False,False
33,0.9010926461213964,51.82606060606061,15.398787878787878,1.0,False,False,False
34,0.9011136471884156,51.82363636363636,15.40121212121212,1.0,False,False,False
35,0.9017789063582432,51.912121212121214,15.304242424242425,1.0,False,False,False
36,0.9005527775761073,51.89939393939394,15.30121212121212,1.0,False,False,False
37,0.9005543165077468,51.9369696969697,15.258787878787878,1.0,False,False,False
38,0.9004433762366649,51.86121212121212,15.332121212121212,1.0,False,False,False
39,0.9008188054733541,51.872121212121215,15.312727272727273,1.0,False,False,False
40,0.9001350638548449,51.78787878787879,15.405454545454546,1.0,False,False,False
41,0.9002440961934064,51.766060606060606,15.41030303030303,1.0,False,False,False
42,0.9000752760853445,51.63575757575757,15.552727272727273,1.0,False,False,False
43,0.9005359590735703,51.74848484848485,15.444848484848485,1.0,False,False,False
44,0.9007120031744574,51.81212121212121,15.38,1.0,False,False,False
45,0.9006362012124763,51.775757575757574,15.413939393939394,1.0,False,False,False
46,0.9006330914731634,51.81090909090909,15.381212121212121,1.0,False,False,False
47,0.9005519336562983,51.80909090909091,15.383030303030303,1.0,False,False,False
48,0.9010604101838935,51.74121212121212,15.44848484848485,1.0,False,False,False
49,0.9011097846285657,51.737575757575755,15.452121212121211,1.0,False,False,False
50,0.8902917527728451,51.64363636363636,15.457575757575757,1.0,False,False,False
51,0.8923026633818376,51.47818181818182,15.593939393939394,1.0,False,False,False
52,0.8918171119909658,51.54545454545455,15.546060606060607,1.0,False,False,False
53,0.8938602143697686,51.57393939393939,15.505454545454546,1.0,False,False,False
54,0.8947410751915592,51.56484848484848,15.520606060606061,1.0,False,False,False
55,0.8968162939123567,51.46666666666667,15.601818181818182,1.0,False,False,False
56,0.8964855221412028,51.39090909090909,15.663030303030302,1.0,False,False,False
57,0.8972926873542135,51.086060606060606,15.937575757575758,1.0,False,False,False
58,0.89865554672074,51.32606060606061,15.727878787878788,1.0,False,False,False
59,0.9000027017417687,51.20181818181818,15.823030303030302,1.0,False,False,False
60,0.8987723193502727,51.276969696969694,15.751515151515152,1.0,False,False,False
61,0.8984209354166973,51.333939393939396,15.707878787878787,1.0,False,False,False
62,0.8991848354292288,51.303636363636365,15.736969696969696,1.0,False,False,False
63,0.901451422579469,51.07939393939394,15.943030303030303,1.0,False,False,False
64,0.9006118378449505,50.96121212121212,16.055151515151515,1.0,False,False,False
65,0.9009392802192968,50.85757575757576,16.135757575757577,1.0,False,False,False
66,0.9003269414975488,50.947878787878786,16.055151515151515,1.0,False,False,False
67,0.9003822821103733,50.86181818181818,16.14969696969697,1.0,False,False,False
68,0.9021547996642078,50.85515151515151,16.115151515151513,1.0,False,False,False
69,0.9022104987825024,50.84848484848485,16.107272727272726,1.0,False,False,False
70,0.9007026960535227,50.92787878787879,16.07151515151515,1.0,False,False,False
71,0.9004575368166668,50.92545454545454,16.081212121212122,1.0,False,False,False
72,0.9006847342265257,50.93151515151515,16.07151515151515,1.0,False,False,False
73,0.9010431447096868,50.86060606060606,16.12787878787879,1.0,False,False,False
74,0.9009073878484662,50.81393939393939,16.18060606060606,1.0,False,False,False
75,0.900168713971705,50.807878787878785,16.176969696969696,1.0,False,False,False
76,0.9006862330598903,50.64242424242424,16.327878787878788,1.0,False,False,False
77,0.9005684703366451,50.657575757575756,16.29939393939394,1.0,False,False,False
78,0.9004224115886938,50.89030303030303,16.099393939393938,1.0,False,False,False
79,0.900411435786898,50.79939393939394,16.168484848484848,1.0,False,False,False
80,0.90035476590404,50.96363636363636,16.02969696969697,1.0,False,False,False
81,0.9006737105250572,50.99818181818182,16.004848484848484,1.0,False,False,False
82,0.8995812205994861,50.82969696969697,16.14909090909091,1.0,False,False,False
83,0.9000289471416247,50.95030303030303,16.05757575757576,1.0,False,False,False
84,0.9007046287378633,51.014545454545456,16.009090909090908,1.0,False,False,False
85,0.9006440686025861,51.21818181818182,15.82121212121212,1.0,False,False,False
86,0.9007453660854504,51.12969696969697,15.885454545454545,1.0,False,False,False
87,0.9011499638865842,51.32242424242424,15.706060606060607,1.0,False,False,False
88,0.9010855112733666,51.29090909090909,15.741212121212122,1.0,False,False,False
89,0.9016179631292783,51.53333333333333,15.546060606060607,1.0,False,False,False
90,0.9016015929097493,51.586060606060606,15.495757575757576,1.0,False,False,False
91,0.9017077108461882,51.7969696969697,15.304242424242425,1.0,False,False,False
92,0.9019044860469706,51.941818181818185,15.16909090909091,1.0,False,False,False
93,0.9016320394509815,52.13939393939394,14.995757575757576,1.0,False,False,False
94,0.902591048326526,51.844242424242424,15.254545454545454,1.0,False,False,False
95,0.9017339555586072,52.11636363636364,15.01878787878788,1.0,False,False,False
96,0.9020550140308742,51.9369696969697,15.177575757575758,1.0,False,False,False
97,0.9027256319861168,52.02848484848485,15.106666666666667,1.0,False,False,False
98,0.9025816582114417,52.13515151515151,14.997575757575758,1.0,False,False,False
99,0.9026713871640124,52.27757575757576,14.870909090909091,1.0,False,False,False
100,0.8907261879790257,52.39090909090909,14.762424242424242,1.0,False,False,False
101,0.8925820755715475,52.345454545454544,14.788484848484849,1.0,False,False,False
102,0.8942726356752366,52.304848484848485,14.83030303030303,1.0,False,False,False
103,0.8964453428611576,52.28909090909091,14.829090909090908,1.0,False,False,False
104,0.8974406777571257,52.36,14.767878787878788,1.0,False,False,False
105,0.8993061865413009,52.224848484848486,14.873939393939393,1.0,False,False,False
106,0.899334541275903,52.28848484848485,14.822424242424242,1.0,False,False,False
107,0.9007727231425087,52.29030303030303,14.804848484848485,1.0,False,False,False
108,0.8997091629134639,52.35454545454545,14.761212121212122,1.0,False,False,False
109,0.9005033108304902,52.49939393939394,14.65030303030303,1.0,False,False,False
110,0.900439065571101,52.24424242424242,14.854545454545455,1.0,False,False,False
111,0.9005733203459741,52.238181818181815,14.855757575757575,1.0,False,False,False
112,0.9008705884610588,52.264242424242425,14.832121212121212,1.0,False,False,False
113,0.900803222935431,52.276363636363634,14.82121212121212,1.0,False,False,False
114,0.9013005197939801,52.31454545454545,14.8,1.0,False,False,False
115,0.9020777733439104,52.305454545454545,14.796969696969697,1.0,False,False,False
116,0.9021029726911047,52.343030303030304,14.777575757575757,1.0,False,False,False
117,0.9018774672524623,52.32181818181818,14.787878787878787,1.0,False,False,False
118,0.9024061817756162,52.28424242424242,14.832727272727272,1.0,False,False,False
119,0.9034415588500698,52.237575757575755,14.873333333333333,1.0,False,False,False
120,0.9031195891604552,52.31757575757576,14.798181818181819,1.0,False,False,False
121,0.903490191468062,52.2430303030303,14.866666666666667,1.0,False,False,False
122,0.9033168250740673,52.21333333333333,14.89030303030303,1.0,False,False,False
123,0.9037540325712716,52.28242424242424,14.823636363636364,1.0,False,False,False
124,0.9028669468310596,52.38969696969697,14.741818181818182,1.0,False,False,False
125,0.9035016922224551,52.27878787878788,14.838181818181818,1.0,False,False,False
126,0.9028521788283683,52.343030303030304,14.784848484848485,1.0,False,False,False
127,0.9029125023530931,52.25757575757576,14.864242424242423,1.0,False,False,False
128,0.9029070567690786,52.373939393939395,14.758787878787878,1.0,False,False,False
129,0.903104660422037,52.32484848484849,14.78969696969697,1.0,False,False,False
130,0.9033872567565457,52.42424242424242,14.718181818181819,1.0,False,False,False
131,0.9033914268907764,52.38,14.757575757575758,1.0,False,False,False
132,0.9030328290594783,52.38969696969697,14.751515151515152,1.0,False,False,False
133,0.9029643439516413,52.38666666666666,14.75939393939394,1.0,False,False,False
134,0.9035169298072507,52.40969696969697,14.715757575757575,1.0,False,False,False
135,0.9040818508088347,52.36121212121212,14.755757575757576,1.0,False,False,False
136,0.9033602418541634,52.337575757575756,14.796363636363637,1.0,False,False,False
137,0.9037149502154648,52.39515151515152,14.764242424242424,1.0,False,False,False
138,0.903933065589036,52.376969696969695,14.76909090909091,1.0,False,False,False
139,0.9041823147258766,52.31757575757576,14.806666666666667,1.0,False,False,False
140,0.9036450844460483,52.37090909090909,14.773939393939393,1.0,False,False,False
141,0.9037607073919038,52.25212121212121,14.883030303030303,1.0,False,False,False
142,0.9036488606152027,52.36909090909091,14.774545454545455,1.0,False,False,False
143,0.9039632336862885,52.308484848484845,14.813333333333333,1.0,False,False,False
144,0.9030383565043435,52.31757575757576,14.813939393939394,1.0,False,False,False
145,0.9030797026763362,52.308484848484845,14.825454545454546,1.0,False,False,False
146,0.9031331800660355,52.27212121212121,14.85939393939394,1.0,False,False,False
147,0.9033619689269341,52.27939393939394,14.836363636363636,1.0,False,False,False
148,0.9036603661635557,52.43939393939394,14.715151515151515,1.0,False,False,False
149,0.9038075785392022,52.410303030303034,14.735757575757576,1.0,False,False,False
150,0.8924289622093348,52.34787878787879,14.855151515151515,1.0,False,False,False
151,0.894164901878083,52.36363636363637,14.838181818181818,1.0,False,False,False
152,0.8954029987371808,52.3569696969697,14.848484848484848,1.0,False,False,False
153,0.8983898062485308,52.39272727272727,14.773939393939393,1.0,False,False,False
154,0.8998052627421075,52.35939393939394,14.836363636363636,1.0,False,False,False
155,0.9015351964859443,52.38666666666666,14.787272727272727,1.0,False,False,False
156,0.9006484586730638,52.410909090909094,14.772727272727273,1.0,False,False,False
157,0.9018466658457983,52.41878787878788,14.763636363636364,1.0,False,False,False
158,0.9010721754119001,52.39212121212121,14.785454545454545,1.0,False,False,False
159,0.9022495457518458,52.403030303030306,14.762424242424242,1.0,False,False,False
160,0.9018857768809173,52.38060606060606,14.786060606060605,1.0,False,False,False
161,0.9021009561774521,52.4969696969697,14.692727272727273,1.0,False,False,False
162,0.9027553496513331,52.412727272727274,14.745454545454546,1.0,False,False,False
163,0.9019333557900037,52.3860606060606,14.784242424242425,1.0,False,False,False
164,0.9029438671169815,52.519393939393936,14.686060606060606,1.0,False,False,False
165,0.9038109540824384,52.53515151515151,14.665454545454546,1.0,False,False,False
166,0.9037133686725256,52.480606060606064,14.707878787878787,1.0,False,False,False
167,0.9041277741196312,52.442424242424245,14.746060606060606,1.0,False,False,False
168,0.9040733374859125,52.40969696969697,14.771515151515151,1.0,False,False,False
169,0.9041209709867707,52.484242424242424,14.743030303030302,1.0,False,False,False
170,0.9043556494585878,52.53272727272727,14.692121212121211,1.0,False,False,False
171,0.9054869130259815,52.405454545454546,14.774545454545455,1.0,False,False,False
172,0.904675618846248,52.416363636363634,14.776969696969697,1.0,False,False,False
173,0.9046560294692921,52.443636363636365,14.754545454545454,1.0,False,False,False
174,0.9039516293347267,52.481818181818184,14.734545454545454,1.0,False,False,False
175,0.9040631531924649,52.5,14.722424242424243,1.0,False,False,False
176,0.90324668921972,52.45939393939394,14.767878787878788,1.0,False,False,False
177,0.9035399876055308,52.482424242424244,14.74,1.0,False,False,False
178,0.9027039789221692,52.45878787878788,14.755151515151516,1.0,False,False,False
179,0.9029103861092109,52.412727272727274,14.793939393939393,1.0,False,False,False
180,0.9043063070707265,52.343636363636364,14.856969696969697,1.0,False,False,False
181,0.9044917311439643,52.36606060606061,14.836969696969698,1.0,False,False,False
182,0.9041553471601421,52.5230303030303,14.690909090909091,1.0,False,False,False
183,0.9038681206520538,52.5230303030303,14.690909090909091,1.0,False,False,False
184,0.9041511022977238,52.50484848484849,14.709090909090909,1.0,False,False,False
185,0.9043121142640825,52.47030303030303,14.733939393939394,1.0,False,False,False
186,0.9033254537982148,52.377575757575755,14.814545454545454,1.0,False,False,False
187,0.9030746570527366,52.38545454545454,14.812727272727273,1.0,False,False,False
188,0.9034471191261386,52.44121212121212,14.801818181818183,1.0,False,False,False
189,0.9035237852350448,52.410303030303034,14.81939393939394,1.0,False,False,False
190,0.9037935983065473,52.46666666666667,14.747272727272728,1.0,False,False,False
191,0.9040002836789002,52.47151515151515,14.742424242424242,1.0,False,False,False
192,0.9041443996244306,52.36969696969697,14.84060606060606,1.0,False,False,False
193,0.9035401955275754,52.378787878787875,14.833939393939394,1.0,False,False,False
194,0.9043944093034635,52.446060606060605,14.767878787878788,1.0,False,False,False
195,0.9043749017701121,52.46606060606061,14.747878787878788,1.0,False,False,False
196,0.9046542775242435,52.43515151515152,14.788484848484849,1.0,False,False,False
197,0.904211584794594,52.448484848484846,14.775151515151515,1.0,False,False,False
198,0.9037393106567304,52.50424242424243,14.708484848484849,1.0,False,False,False
199,0.9043288282051196,52.375757575757575,14.818787878787878,1.0,False,False,False
200,0.8891986205318504,52.32909090909091,14.945454545454545,1.0,False,False,False
201,0.8916686987238885,52.376363636363635,14.904242424242424,1.0,False,False,False
202,0.8936786908285881,52.33030303030303,14.941818181818181,1.0,False,False,False
203,0.8961893536442245,52.36545454545455,14.894545454545455,1.0,False,False,False
204,0.8943047071557443,52.36121212121212,14.91090909090909,1.0,False,False,False
205,0.8965997789211542,52.341818181818184,14.91090909090909,1.0,False,False,False
206,0.8951409145965948,52.2,15.055151515151515,1.0,False,False,False
207,0.895573749183773,52.45575757575757,14.817575757575758,1.0,False,False,False
208,0.8974276745950032,52.29939393939394,14.94,1.0,False,False,False
209,0.8981955856234192,52.32484848484849,14.90969696969697,1.0,False,False,False
210,0.898818293711855,52.28060606060606,14.946666666666667,1.0,False,False,False
211,0.8983085144089572,52.346666666666664,14.895151515151515,1.0,False,False,False
212,0.9005912072651345,52.335151515151516,14.878787878787879,1.0,False,False,False
213,0.9008496734058474,52.416363636363634,14.816969696969696,1.0,False,False,False
214,0.8993145169378866,52.38242424242424,14.850909090909092,1.0,False,False,False
215,0.9004522757950574,52.555151515151515,14.704848484848485,1.0,False,False,False
216,0.9007007133893886,52.49454545454545,14.76060606060606,1.0,False,False,False
217,0.9008115434186437,52.56787878787879,14.683636363636364,1.0,False,False,False
218,0.9002854213747827,52.586060606060606,14.66909090909091,1.0,False,False,False
219,0.9000411499732034,52.67636363636364,14.616363636363637,1.0,False,False,False
220,0.9017152025845309,52.7060606060606,14.555151515151515,1.0,False,False,False
221,0.9007711614381291,52.660606060606064,14.59939393939394,1.0,False,False,False
222,0.9018438885269727,52.694545454545455,14.569090909090908,1.0,False,False,False
223,0.9019567714523006,52.66848484848485,14.592727272727272,1.0,False,False,False
224,0.9021617340334832,52.77272727272727,14.521212121212121,1.0,False,False,False
225,0.9024609831929251,52.88424242424242,14.443636363636363,1.0,False,False,False
226,0.9021495073620458,52.78181818181818,14.503636363636364,1.0,False,False,False
227,0.9021671725078234,52.801212121212124,14.496363636363636,1.0,False,False,False
228,0.9016216824514832,52.844242424242424,14.446060606060605,1.0,False,False,False
229,0.9022174903699455,52.876363636363635,14.42,1.0,False,False,False
230,0.9017983053542369,52.803636363636365,14.479393939393939,1.0,False,False,False
231,0.9020964905763681,52.75575757575758,14.522424242424242,1.0,False,False,False
232,0.9017711738918402,52.8169696969697,14.458787878787879,1.0,False,False,False
233,0.9017771974148837,52.92181818181818,14.374545454545455,1.0,False,False,False
234,0.9017478656540633,52.68848484848485,14.576363636363636,1.0,False,False,False
235,0.901339442973478,52.78969696969697,14.484848484848484,1.0,False,False,False
236,0.9016476388270954,52.835757575757576,14.436363636363636,1.0,False,False,False
237,0.9028979611409854,53.04424242424243,14.243636363636364,1.0,False,False,False
238,0.9013601969165258,52.85151515151515,14.433939393939394,1.0,False,False,False
239,0.9024020907846533,52.90969696969697,14.35878787878788,1.0,False,False,False
240,0.9027095427599703,52.92060606060606,14.357575757575757,1.0,False,False,False
241,0.9024033648625513,52.95272727272727,14.34,1.0,False,False,False
